page,bbox_x0,bbox_top,bbox_x1,bbox_bottom,tentang,tipe_regional,kelas_rs,tipe_rs,rawat_jalan,NO,KODE INA-CBG,DESKRIPSI KODE INA-CBG,TARIF KELAS 3,TARIF KELAS 2,TARIF KELAS 1
162,50.0,106.0,534.1,779.4,-162- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS C SWASTA RAWAT INAP,,,,,1,A-4-10-I,SEPTIKEMIA (RINGAN),2.360.700,2.750.200,3.139.700
162,50.0,106.0,534.1,779.4,-162- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS C SWASTA RAWAT INAP,,,,,2,A-4-10-II,SEPTIKEMIA (SEDANG),3.965.200,4.619.400,5.273.700
162,50.0,106.0,534.1,779.4,-162- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS C SWASTA RAWAT INAP,,,,,3,A-4-10-III,SEPTIKEMIA (BERAT),5.399.300,6.290.100,7.181.000
162,50.0,106.0,534.1,779.4,-162- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS C SWASTA RAWAT INAP,,,,,4,A-4-11-I,INFEKSI SESUDAH OPERASI & TRAUMA (RINGAN),3.135.600,3.653.000,4.170.400
162,50.0,106.0,534.1,779.4,-162- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS C SWASTA RAWAT INAP,,,,,5,A-4-11-II,INFEKSI SESUDAH OPERASI & TRAUMA (SEDANG),4.276.700,4.982.400,5.688.000
162,50.0,106.0,534.1,779.4,-162- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS C SWASTA RAWAT INAP,,,,,6,A-4-11-III,INFEKSI SESUDAH OPERASI & TRAUMA (BERAT),5.920.000,6.896.800,7.873.500
162,50.0,106.0,534.1,779.4,-162- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS C SWASTA RAWAT INAP,,,,,7,A-4-12-I,DEMAM YANG TIDAK DITENTUKAN (RINGAN),2.721.200,3.170.200,3.619.200
162,50.0,106.0,534.1,779.4,-162- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS C SWASTA RAWAT INAP,,,,,8,A-4-12-II,DEMAM YANG TIDAK DITENTUKAN (SEDANG),3.388.500,3.947.600,4.506.700
162,50.0,106.0,534.1,779.4,-162- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS C SWASTA RAWAT INAP,,,,,9,A-4-12-III,DEMAM YANG TIDAK DITENTUKAN (BERAT),3.616.400,4.213.100,4.809.800
162,50.0,106.0,534.1,779.4,-162- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS C SWASTA RAWAT INAP,,,,,10,A-4-13-I,INFEKSI VIRAL & NON-BAKTERIAL LAIN (RINGAN),1.939.100,2.259.100,2.579.000
162,50.0,106.0,534.1,779.4,-162- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS C SWASTA RAWAT INAP,,,,,1,A-4-13-II,INFEKSI VIRAL & NON-BAKTERIAL LAIN (SEDANG),2.465.000,2.871.700,3.278.400
