page,bbox_x0,bbox_top,bbox_x1,bbox_bottom,tentang,tipe_regional,kelas_rs,tipe_rs,rawat_jalan,NO,KODE SPESIAL,DESKRIPSI SPESIAL CMG,KODE INA- CBG,KELAS RAWAT,A SWASTA,B SWASTA,C SWASTA,D SWASTA
4,90.8,157.0,497.7,735.9,-43- -44- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,1,DD-01-I,Streptokinase,I-4-10-I,1,4.850.700,4 .850.700,4 .850.700,4 .850.700
4,90.8,157.0,497.7,735.9,-43- -44- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,4.850.700,4 .850.700,4 .850.700,4 .850.700
4,90.8,157.0,497.7,735.9,-43- -44- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,4.850.700,4 .850.700,4 .850.700,4 .850.700
4,90.8,157.0,497.7,735.9,-43- -44- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,I-4-10-II,1,4.850.700,4 .850.700,4 .850.700,4 .850.700
4,90.8,157.0,497.7,735.9,-43- -44- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,4.850.700,4 .850.700,4 .850.700,4 .850.700
4,90.8,157.0,497.7,735.9,-43- -44- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,4.850.700,4 .850.700,4 .850.700,4 .850.700
4,90.8,157.0,497.7,735.9,-43- -44- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,I-4-10-III,1,4.850.700,4 .850.700,4 .850.700,4 .850.700
4,90.8,157.0,497.7,735.9,-43- -44- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,4.850.700,4 .850.700,4 .850.700,4 .850.700
4,90.8,157.0,497.7,735.9,-43- -44- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,4.850.700,4 .850.700,4 .850.700,4 .850.700
4,90.8,157.0,497.7,735.9,-43- -44- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,2,DD-02-II,Deferiprone,D-4-13-I,1,5.962.000,5 .962.000,5 .962.000,5 .962.000
4,90.8,157.0,497.7,735.9,-43- -44- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,5.962.000,5 .962.000,5 .962.000,5 .962.000
4,90.8,157.0,497.7,735.9,-43- -44- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,5.962.000,5 .962.000,5 .962.000,5 .962.000
4,90.8,157.0,497.7,735.9,-43- -44- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,D-4-13-II,1,5.962.000,5 .962.000,5 .962.000,5 .962.000
