page,bbox_x0,bbox_top,bbox_x1,bbox_bottom,tentang,tipe_regional,kelas_rs,tipe_rs,rawat_jalan,NO,KODE INA-CBG,DESKRIPSI KODE INA-CBG,TARIF INA-CBG
312,50.0,109.4,452.8,784.8,-312- TARIF INA-CBG REGIONAL 2 RUMAH SAKIT KELAS D SWASTA RAWAT JALAN,,,,,36,F-5-12-0,PROSEDUR TES DIAGNOSTIK KESEHATAN JIWA,347.700
312,50.0,109.4,452.8,784.8,-312- TARIF INA-CBG REGIONAL 2 RUMAH SAKIT KELAS D SWASTA RAWAT JALAN,,,,,37,F-5-13-0,PSIKOTERAPI INDIVIDU DEWASA AKUT,466.300
312,50.0,109.4,452.8,784.8,-312- TARIF INA-CBG REGIONAL 2 RUMAH SAKIT KELAS D SWASTA RAWAT JALAN,,,,,38,F-5-14-0,PSIKOTHERAPI INDIVIDU DEWASA BUKAN AKUT,258.600
312,50.0,109.4,452.8,784.8,-312- TARIF INA-CBG REGIONAL 2 RUMAH SAKIT KELAS D SWASTA RAWAT JALAN,,,,,39,F-5-15-0,PENGOBATAN INDIVIDU KETERBELAKANGAN MENTAL,258.400
312,50.0,109.4,452.8,784.8,-312- TARIF INA-CBG REGIONAL 2 RUMAH SAKIT KELAS D SWASTA RAWAT JALAN,,,,,40,F-5-16-0,PSIKOTHERAPI INDIVIDU PADA KANAK-KANAK MASALAH KESEHATAN MENTAL,309.800
312,50.0,109.4,452.8,784.8,-312- TARIF INA-CBG REGIONAL 2 RUMAH SAKIT KELAS D SWASTA RAWAT JALAN,,,,,41,G-2-10-0,PROSEDUR KRANIOTOMI,5.371.800
312,50.0,109.4,452.8,784.8,-312- TARIF INA-CBG REGIONAL 2 RUMAH SAKIT KELAS D SWASTA RAWAT JALAN,,,,,42,G-2-11-0,PROSEDUR SHUNT VENTRIKEL,3.278.500
312,50.0,109.4,452.8,784.8,-312- TARIF INA-CBG REGIONAL 2 RUMAH SAKIT KELAS D SWASTA RAWAT JALAN,,,,,43,G-2-12-0,PROSEDUR PADA PEMBULUH DARAH EKSTRAKRANIAL,2.154.100
312,50.0,109.4,452.8,784.8,-312- TARIF INA-CBG REGIONAL 2 RUMAH SAKIT KELAS D SWASTA RAWAT JALAN,,,,,4,G-2-13-0,PROSEDUR CARPAL TUNNEL RELEASE,949.600
312,50.0,109.4,452.8,784.8,-312- TARIF INA-CBG REGIONAL 2 RUMAH SAKIT KELAS D SWASTA RAWAT JALAN,,,,,45,G-2-21-0,PROSEDUR BESAR PADA SARAF PERIFER,2.146.800
312,50.0,109.4,452.8,784.8,-312- TARIF INA-CBG REGIONAL 2 RUMAH SAKIT KELAS D SWASTA RAWAT JALAN,,,,,46,G-2-22-0,PROSEDUR KECIL PADA SARAF PERIFER,1.203.600
312,50.0,109.4,452.8,784.8,-312- TARIF INA-CBG REGIONAL 2 RUMAH SAKIT KELAS D SWASTA RAWAT JALAN,,,,,47,G-2-31-0,PROSEDUR BESAR PADA TULANG BELAKANG,2.149.000
312,50.0,109.4,452.8,784.8,-312- TARIF INA-CBG REGIONAL 2 RUMAH SAKIT KELAS D SWASTA RAWAT JALAN,,,,,48,G-2-32-0,PROSEDUR KECIL PADA TULANG BELAKANG,1.537.400
312,50.0,109.4,452.8,784.8,-312- TARIF INA-CBG REGIONAL 2 RUMAH SAKIT KELAS D SWASTA RAWAT JALAN,,,,,49,G-3-10-0,PROSEDUR TAP & INJEKSI PADA SPINAL,660.400
312,50.0,109.4,452.8,784.8,-312- TARIF INA-CBG REGIONAL 2 RUMAH SAKIT KELAS D SWASTA RAWAT JALAN,,,,,50,G-3-11-0,PROSEDUR INJEKSI PADA SARAF PERIFER,477.800
312,50.0,109.4,452.8,784.8,-312- TARIF INA-CBG REGIONAL 2 RUMAH SAKIT KELAS D SWASTA RAWAT JALAN,,,,,51,G-3-12-0,PROSEDUR PEMERIKSAAN NEUROLOGIS LAIN,566.400
312,50.0,109.4,452.8,784.8,-312- TARIF INA-CBG REGIONAL 2 RUMAH SAKIT KELAS D SWASTA RAWAT JALAN,,,,,52,G-3-13-0,PROSEDUR ELEKROENSEFALOGRAFI (EEG),496.100
312,50.0,109.4,452.8,784.8,-312- TARIF INA-CBG REGIONAL 2 RUMAH SAKIT KELAS D SWASTA RAWAT JALAN,,,,,53,G-5-17-0,PENYAKIT SARAF KRANIAL DAN SARAF PERIFER LAIN-LAIN,243.900
312,50.0,109.4,452.8,784.8,-312- TARIF INA-CBG REGIONAL 2 RUMAH SAKIT KELAS D SWASTA RAWAT JALAN,,,,,54,H-2-21-0,PROSEDUR BESAR PADA MATA,2.835.100
312,50.0,109.4,452.8,784.8,-312- TARIF INA-CBG REGIONAL 2 RUMAH SAKIT KELAS D SWASTA RAWAT JALAN,,,,,5,H-2-22-0,PROSEDUR SEDANG PADA MATA,1.490.000
312,50.0,109.4,452.8,784.8,-312- TARIF INA-CBG REGIONAL 2 RUMAH SAKIT KELAS D SWASTA RAWAT JALAN,,,,,56,H-2-23-0,PROSEDUR KECIL PADA MATA,632.800
312,50.0,109.4,452.8,784.8,-312- TARIF INA-CBG REGIONAL 2 RUMAH SAKIT KELAS D SWASTA RAWAT JALAN,,,,,57,H-2-31-0,PROSEDUR BESAR PADA SEGMEN ANTERIOR MATA,2.950.600
312,50.0,109.4,452.8,784.8,-312- TARIF INA-CBG REGIONAL 2 RUMAH SAKIT KELAS D SWASTA RAWAT JALAN,,,,,58,H-2-32-0,PROSEDUR SEDANG PADA SEGMEN ANTERIOR MATA,2.271.900
312,50.0,109.4,452.8,784.8,-312- TARIF INA-CBG REGIONAL 2 RUMAH SAKIT KELAS D SWASTA RAWAT JALAN,,,,,59,H-2-33-0,PROSEDUR KECIL PADA SEGMEN ANTERIOR MATA,424.000
312,50.0,109.4,452.8,784.8,-312- TARIF INA-CBG REGIONAL 2 RUMAH SAKIT KELAS D SWASTA RAWAT JALAN,,,,,60,H-2-34-0,PROSEDUR BESAR PADA SEGMEN POSTERIOR MATA,3.192.100
