page,bbox_x0,bbox_top,bbox_x1,bbox_bottom,tentang,tipe_regional,kelas_rs,tipe_rs,rawat_jalan,NO,KODE SPESIAL,DESKRIPSI SPESIAL CMG,KODE INA- CBG,KELAS RAWAT,A SWASTA,B SWASTA,C SWASTA,D SWASTA
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,1,DD-01-I,Streptokinase,I-4-10-I,1,4.983.800,4 .983.800,4 .983.800,4 .983.800
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,,2,4.983.800,4 .983.800,4 .983.800,4 .983.800
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,,3,4.983.800,4 .983.800,4 .983.800,4 .983.800
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,I-4-10-II,1,4.983.800,4 .983.800,4 .983.800,4 .983.800
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,,2,4.983.800,4 .983.800,4 .983.800,4 .983.800
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,,3,4.983.800,4 .983.800,4 .983.800,4 .983.800
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,I-4-10-III,1,4.983.800,4 .983.800,4 .983.800,4 .983.800
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,,2,4.983.800,4 .983.800,4 .983.800,4 .983.800
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,,3,4.983.800,4 .983.800,4 .983.800,4 .983.800
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,2,DD-02-II,Deferiprone,D-4-13-I,1,6.125.500,6 .125.500,6 .125.500,6 .125.500
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,,2,6.125.500,6 .125.500,6 .125.500,6 .125.500
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,,3,6.125.500,6 .125.500,6 .125.500,6 .125.500
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,D-4-13-II,1,6.125.500,6 .125.500,6 .125.500,6 .125.500
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,,2,6.125.500,6 .125.500,6 .125.500,6 .125.500
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,,3,6.125.500,6 .125.500,6 .125.500,6 .125.500
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,D-4-13-III,1,6.125.500,6 .125.500,6 .125.500,6 .125.500
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,,2,6.125.500,6 .125.500,6 .125.500,6 .125.500
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,,3,6.125.500,6 .125.500,6 .125.500,6 .125.500
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,3,DD-03-II,Deferoksamin,D-4-13-I,1,6.125.500,6 .125.500,6 .125.500,6 .125.500
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,,2,6.125.500,6 .125.500,6 .125.500,6 .125.500
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,,3,6.125.500,6 .125.500,6 .125.500,6 .125.500
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,D-4-13-II,1,6.125.500,6 .125.500,6 .125.500,6 .125.500
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,,2,6.125.500,6 .125.500,6 .125.500,6 .125.500
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,,3,6.125.500,6 .125.500,6 .125.500,6 .125.500
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,D-4-13-III,1,6.125.500,6 .125.500,6 .125.500,6 .125.500
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,,2,6.125.500,6 .125.500,6 .125.500,6 .125.500
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,,3,6.125.500,6 .125.500,6 .125.500,6 .125.500
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,4,DD-04-II,Deferasirox,D-4-13-I,1,6.125.500,6 .125.500,6 .125.500,6 .125.500
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,,2,6.125.500,6 .125.500,6 .125.500,6 .125.500
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,,3,6.125.500,6 .125.500,6 .125.500,6 .125.500
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,D-4-13-II,1,6.125.500,6 .125.500,6 .125.500,6 .125.500
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,,2,6.125.500,6 .125.500,6 .125.500,6 .125.500
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,,3,6.125.500,6 .125.500,6 .125.500,6 .125.500
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,D-4-13-III,1,6.125.500,6 .125.500,6 .125.500,6 .125.500
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,,2,6.125.500,6 .125.500,6 .125.500,6 .125.500
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,,3,6.125.500,6 .125.500,6 .125.500,6 .125.500
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,5,DD-05-II,Human Albumin for Septicaemia,A-4-10-I,1,2.203.400,2 .203.400,2 .203.400,2 .203.400
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,,2,2.203.400,2 .203.400,2 .203.400,2 .203.400
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,,3,2.203.400,2 .203.400,2 .203.400,2 .203.400
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,A-4-10-II,1,2.203.400,2 .203.400,2 .203.400,2 .203.400
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,,2,2.203.400,2 .203.400,2 .203.400,2 .203.400
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,,3,2.203.400,2 .203.400,2 .203.400,2 .203.400
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,A-4-10-III,1,2.203.400,2 .203.400,2 .203.400,2 .203.400
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,,2,2.203.400,2 .203.400,2 .203.400,2 .203.400
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,,3,2.203.400,2 .203.400,2 .203.400,2 .203.400
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,6,DD-06-II,Anti Hemofilia Factor,D-4-11-I,1,12.983.900,12.983.900,12.983.900,12.983.900
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,,2,12.983.900,12.983.900,12.983.900,12.983.900
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,,3,12.983.900,12.983.900,12.983.900,12.983.900
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,D-4-11-II,1,12.983.900,12.983.900,12.983.900,12.983.900
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,,2,12.983.900,12.983.900,12.983.900,12.983.900
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,,3,12.983.900,12.983.900,12.983.900,12.983.900
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,D-4-11-III,1,12.983.900,12.983.900,12.983.900,12.983.900
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,,2,12.983.900,12.983.900,12.983.900,12.983.900
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,,3,12.983.900,12.983.900,12.983.900,12.983.900
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,L-1-20-I,1,16.102.800,16.102.800,16.102.800,16.102.800
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,,2,16.102.800,16.102.800,16.102.800,16.102.800
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,,3,16.102.800,16.102.800,16.102.800,16.102.800
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,L-1-20-II,1,16.102.800,16.102.800,16.102.800,16.102.800
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,,2,16.102.800,16.102.800,16.102.800,16.102.800
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,,3,16.102.800,16.102.800,16.102.800,16.102.800
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,L-1-20-III,1,16.102.800,16.102.800,16.102.800,16.102.800
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,,2,16.102.800,16.102.800,16.102.800,16.102.800
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,,3,16.102.800,16.102.800,16.102.800,16.102.800
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,S-4-16-I,1,4.406.700,4 .406.700,4 .406.700,4 .406.700
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,,2,4.406.700,4 .406.700,4 .406.700,4 .406.700
68,90.5,157.0,498.0,735.9,-67- -68- TARIF INA-CBG REGIONAL 4 TOP UP SPESIAL CMG,,,,,,,,,3,4.406.700,4 .406.700,4 .406.700,4 .406.700
