page,bbox_x0,bbox_top,bbox_x1,bbox_bottom,tentang,tipe_regional,kelas_rs,tipe_rs,rawat_jalan,NO,KODE INA-CBG,DESKRIPSI KODE INA-CBG,TARIF KELAS 3,TARIF KELAS 2,TARIF KELAS 1
106,50.0,106.0,535.0,779.4,-106- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS A SWASTA RAWAT INAP,,,,,1,A-4-10-I,SEPTIKEMIA (RINGAN),3.813.400,4.442.600,5.071.800
106,50.0,106.0,535.0,779.4,-106- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS A SWASTA RAWAT INAP,,,,,2,A-4-10-II,SEPTIKEMIA (SEDANG),6.513.600,7.588.300,8.663.100
106,50.0,106.0,535.0,779.4,-106- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS A SWASTA RAWAT INAP,,,,,3,A-4-10-III,SEPTIKEMIA (BERAT),8.782.400,10.231.500,11.680.600
106,50.0,106.0,535.0,779.4,-106- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS A SWASTA RAWAT INAP,,,,,4,A-4-11-I,INFEKSI SESUDAH OPERASI & TRAUMA (RINGAN),5.065.200,5.901.000,6.736.700
106,50.0,106.0,535.0,779.4,-106- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS A SWASTA RAWAT INAP,,,,,5,A-4-11-II,INFEKSI SESUDAH OPERASI & TRAUMA (SEDANG),6.659.600,7.758.500,8.857.300
106,50.0,106.0,535.0,779.4,-106- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS A SWASTA RAWAT INAP,,,,,6,A-4-11-III,INFEKSI SESUDAH OPERASI & TRAUMA (BERAT),9.106.700,10.609.300,12.111.900
106,50.0,106.0,535.0,779.4,-106- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS A SWASTA RAWAT INAP,,,,,7,A-4-12-I,DEMAM YANG TIDAK DITENTUKAN (RINGAN),3.014.900,3.512.400,4.009.800
106,50.0,106.0,535.0,779.4,-106- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS A SWASTA RAWAT INAP,,,,,8,A-4-12-II,DEMAM YANG TIDAK DITENTUKAN (SEDANG),5.204.200,6.062.900,6.921.500
106,50.0,106.0,535.0,779.4,-106- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS A SWASTA RAWAT INAP,,,,,9,A-4-12-III,DEMAM YANG TIDAK DITENTUKAN (BERAT),7.498.300,8.735.500,9.972.700
106,50.0,106.0,535.0,779.4,-106- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS A SWASTA RAWAT INAP,,,,,10,A-4-13-I,INFEKSI VIRAL & NON-BAKTERIAL LAIN (RINGAN),2.244.000,2.614.200,2.984.500
