page,bbox_x0,bbox_top,bbox_x1,bbox_bottom,tentang,tipe_regional,kelas_rs,tipe_rs,rawat_jalan,col_0,col_1,col_2,col_3,col_4,col_5,hanya berlaku untuk: - RS Kelas A Umum; - RS Khusus Jantung Kelas A. 2. Tarif layanan berlaku hanya untuk 1 kali penjaminan untuk setiap jenis prosedur yang menggunakan prosthesis Evar/Tevar; 3. Layanan dilakukan oleh dokter sesuai dengan kewenangan klinis dan kompetensinya.
86,70.2,84.3,587.5,701.5,--------- 888888888555555556 ---------,,,,,4,YY-13-III,Coil,G-1-12-I G-1-12-II G-1-12-III,-,39.75,1. Penjaminan tidak dapat dilakukan di RS kelas D; 2. Kriteria pendukung: a. Hasil CT Scan Kepala minimal 64 Slice yang dilakukan pada saat pasien datang ke RS; b. Pasien dirawat diruang ICU
