page,bbox_x0,bbox_top,bbox_x1,bbox_bottom,tentang,tipe_regional,kelas_rs,tipe_rs,rawat_jalan,NO,KODE SPESIAL,DESKRIPSI SPESIAL CMG,KODE INA- CBG,KELAS RAWAT,RSCM,RSJP-HK,RSAB-HK,RSK DHARMAIS,RSPON
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,5.962.000,5.962.000,5.962.000,5.962.000,5.962.000
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,D-4-13-II,1,5.962.000,5.962.000,5.962.000,5.962.000,5.962.000
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,5.962.000,5.962.000,5.962.000,5.962.000,5.962.000
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,5.962.000,5.962.000,5.962.000,5.962.000,5.962.000
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,D-4-13-III,1,5.962.000,5.962.000,5.962.000,5.962.000,5.962.000
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,5.962.000,5.962.000,5.962.000,5.962.000,5.962.000
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,5.962.000,5.962.000,5.962.000,5.962.000,5.962.000
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,5,DD-05-II,Human Albumin for Septicaemia,A-4-10-I,1,2.144.600,2.144.600,2.144.600,2.144.600,2.144.600
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,2.144.600,2.144.600,2.144.600,2.144.600,2.144.600
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,2.144.600,2.144.600,2.144.600,2.144.600,2.144.600
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,A-4-10-II,1,2.144.600,2.144.600,2.144.600,2.144.600,2.144.600
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,2.144.600,2.144.600,2.144.600,2.144.600,2.144.600
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,2.144.600,2.144.600,2.144.600,2.144.600,2.144.600
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,A-4-10-III,1,2.144.600,2.144.600,2.144.600,2.144.600,2.144.600
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,2.144.600,2.144.600,2.144.600,2.144.600,2.144.600
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,2.144.600,2.144.600,2.144.600,2.144.600,2.144.600
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,6,DD-06-II,Anti Hemofilia Factor,D-4-11-I,1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2.637.400,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2.637.400,1 2.637.400,1 2.637.400,1 2.637.400
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2.637.400,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2.637.400,1 2.637.400,1 2.637.400,1 2.637.400
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2.637.400,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2.637.400,1 2.637.400,1 2.637.400,1 2.637.400
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,D-4-11-II,1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2.637.400,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2.637.400,1 2.637.400,1 2.637.400,1 2.637.400
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2.637.400,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2.637.400,1 2.637.400,1 2.637.400,1 2.637.400
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2.637.400,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2.637.400,1 2.637.400,1 2.637.400,1 2.637.400
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,D-4-11-III,1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2.637.400,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2.637.400,1 2.637.400,1 2.637.400,1 2.637.400
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2.637.400,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2.637.400,1 2.637.400,1 2.637.400,1 2.637.400
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2.637.400,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2.637.400,1 2.637.400,1 2.637.400,1 2.637.400
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,7,DD-11-II,Human Albumin for Burn,L-1-20-I,1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5.673.000,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5.673.000,1 5.673.000,1 5.673.000,1 5.673.000
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5.673.000,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5.673.000,1 5.673.000,1 5.673.000,1 5.673.000
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5.673.000,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5.673.000,1 5.673.000,1 5.673.000,1 5.673.000
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,L-1-20-II,1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5.673.000,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5.673.000,1 5.673.000,1 5.673.000,1 5.673.000
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5.673.000,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5.673.000,1 5.673.000,1 5.673.000,1 5.673.000
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5.673.000,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5.673.000,1 5.673.000,1 5.673.000,1 5.673.000
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,L-1-20-III,1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5.673.000,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5.673.000,1 5.673.000,1 5.673.000,1 5.673.000
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5.673.000,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5.673.000,1 5.673.000,1 5.673.000,1 5.673.000
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5.673.000,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5.673.000,1 5.673.000,1 5.673.000,1 5.673.000
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,S-4-16-I,1,4.289.100,4.289.100,4.289.100,4.289.100,4.289.100
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,4.289.100,4.289.100,4.289.100,4.289.100,4.289.100
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,4.289.100,4.289.100,4.289.100,4.289.100,4.289.100
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,S-4-16-II,1,4.289.100,4.289.100,4.289.100,4.289.100,4.289.100
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,4.289.100,4.289.100,4.289.100,4.289.100,4.289.100
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,4.289.100,4.289.100,4.289.100,4.289.100,4.289.100
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,S-4-16-III,1,4.289.100,4.289.100,4.289.100,4.289.100,4.289.100
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,4.289.100,4.289.100,4.289.100,4.289.100,4.289.100
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,4.289.100,4.289.100,4.289.100,4.289.100,4.289.100
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,G-1-10-I,1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 6.656.400,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 6.656.400,1 6.656.400,1 6.656.400,1 6.656.400
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 6.656.400,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 6.656.400,1 6.656.400,1 6.656.400,1 6.656.400
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 6.656.400,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 6.656.400,1 6.656.400,1 6.656.400,1 6.656.400
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 6.656.400,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 6.656.400,1 6.656.400,1 6.656.400,1 6.656.400
81,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,8,RR-01-II,Subdural Grid Electrode,G-1-10-II,2,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 6.656.400,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 6.656.400,1 6.656.400,1 6.656.400,1 6.656.400
81,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 6.656.400,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 6.656.400,1 6.656.400,1 6.656.400,1 6.656.400
81,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,G-1-10-III,1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 6.656.400,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 6.656.400,1 6.656.400,1 6.656.400,1 6.656.400
81,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 6.656.400,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 6.656.400,1 6.656.400,1 6.656.400,1 6.656.400
81,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 6.656.400,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 6.656.400,1 6.656.400,1 6.656.400,1 6.656.400
81,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,9,RR-02-II,Contegra,I-1-03-I,1,-,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 7.175.000,-,-,-
81,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,-,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 7.175.000,-,-,-
81,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,-,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 7.175.000,-,-,-
81,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,I-1-03-II,1,-,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 7.175.000,-,-,-
81,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,-,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 7.175.000,-,-,-
81,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,-,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 7.175.000,-,-,-
81,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,I-1-03-III,1,-,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 7.175.000,-,-,-
81,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,-,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 7.175.000,-,-,-
81,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,-,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 7.175.000,-,-,-
81,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,10,RR-03-III,Temporomandibular Joint (TMJ) Prothesis,M-1-60-I,1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.868.400,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.868.400,1 1.868.400,1 1.868.400,1 1.868.400
81,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.868.400,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.868.400,1 1.868.400,1 1.868.400,1 1.868.400
81,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.868.400,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.868.400,1 1.868.400,1 1.868.400,1 1.868.400
81,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,M-1-60-II,1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.868.400,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.868.400,1 1.868.400,1 1.868.400,1 1.868.400
81,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.868.400,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.868.400,1 1.868.400,1 1.868.400,1 1.868.400
81,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.868.400,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.868.400,1 1.868.400,1 1.868.400,1 1.868.400
81,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,M-1-60-III,1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.868.400,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.868.400,1 1.868.400,1 1.868.400,1 1.868.400
81,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.868.400,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.868.400,1 1.868.400,1 1.868.400,1 1.868.400
81,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.868.400,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.868.400,1 1.868.400,1 1.868.400,1 1.868.400
