page,bbox_x0,bbox_top,bbox_x1,bbox_bottom,col_0,ALAT,col_2,TARIF (Rp),KETENTUAN
24,170.2,367.1,524.5,847.9,,KESEHATAN,,,
24,170.2,367.1,524.5,847.9,Kacamata,,,"1. PBI/Hak rawat kelas 3: Rp165.000,00 2. Hak rawat kelas 2: Rp220.000,00 3. Hak rawat kelas 1: Rp330.000,00","1. Diberikan paling cepat 2 (dua) tahun sekali 2. Indikasi medis minimal -Sferis 0,5D -Silindris 0,25D 3. Diberikan berdasarkan resep dari dokter spesialis mata"
24,170.2,367.1,524.5,847.9,Alat bantu dengar,,,"Maksimal Rp1.100.000,00",1. Diberikan paling cepat 5 (lima) tahun sekali atas indikasi medis tanpa membedakan satu/dua telinga dan untuk telinga yang sama 2. Diberikan berdasarkan resep dari dokter spesialis THT
24,170.2,367.1,524.5,847.9,Protesa alat gerak,,,"Maksimal Rp2.750.000,00",1. Protesa alat gerak adalah: a. kaki palsu
