page,bbox_x0,bbox_top,bbox_x1,bbox_bottom,tentang,tipe_regional,kelas_rs,tipe_rs,rawat_jalan,NO,KODE SPESIAL,DESKRIPSI SPESIAL CMG,KODE INA- CBG,KELAS RAWAT,A PEMERINTAH,B PEMERINTAH,C PEMERINTAH,D PEMERINTAH
40,90.0,174.1,498.6,736.2,-39- -40- B. Besaran Pembayaran Tambahan (Top Up Payment) Pada Special Casemix Main Groups (CMG) TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,5.962.000,5 .962.000,5 .962.000,5 .962.000
40,90.0,174.1,498.6,736.2,-39- -40- B. Besaran Pembayaran Tambahan (Top Up Payment) Pada Special Casemix Main Groups (CMG) TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,D-4-13-III,1,5.962.000,5 .962.000,5 .962.000,5 .962.000
40,90.0,174.1,498.6,736.2,-39- -40- B. Besaran Pembayaran Tambahan (Top Up Payment) Pada Special Casemix Main Groups (CMG) TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,5.962.000,5 .962.000,5 .962.000,5 .962.000
40,90.0,174.1,498.6,736.2,-39- -40- B. Besaran Pembayaran Tambahan (Top Up Payment) Pada Special Casemix Main Groups (CMG) TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,5.962.000,5 .962.000,5 .962.000,5 .962.000
40,90.0,174.1,498.6,736.2,-39- -40- B. Besaran Pembayaran Tambahan (Top Up Payment) Pada Special Casemix Main Groups (CMG) TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,3,DD-03-II,Deferoksamin,D-4-13-I,1,5.962.000,5 .962.000,5 .962.000,5 .962.000
40,90.0,174.1,498.6,736.2,-39- -40- B. Besaran Pembayaran Tambahan (Top Up Payment) Pada Special Casemix Main Groups (CMG) TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,5.962.000,5 .962.000,5 .962.000,5 .962.000
40,90.0,174.1,498.6,736.2,-39- -40- B. Besaran Pembayaran Tambahan (Top Up Payment) Pada Special Casemix Main Groups (CMG) TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,5.962.000,5 .962.000,5 .962.000,5 .962.000
40,90.0,174.1,498.6,736.2,-39- -40- B. Besaran Pembayaran Tambahan (Top Up Payment) Pada Special Casemix Main Groups (CMG) TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,D-4-13-II,1,5.962.000,5 .962.000,5 .962.000,5 .962.000
40,90.0,174.1,498.6,736.2,-39- -40- B. Besaran Pembayaran Tambahan (Top Up Payment) Pada Special Casemix Main Groups (CMG) TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,5.962.000,5 .962.000,5 .962.000,5 .962.000
40,90.0,174.1,498.6,736.2,-39- -40- B. Besaran Pembayaran Tambahan (Top Up Payment) Pada Special Casemix Main Groups (CMG) TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,5.962.000,5 .962.000,5 .962.000,5 .962.000
40,90.0,174.1,498.6,736.2,-39- -40- B. Besaran Pembayaran Tambahan (Top Up Payment) Pada Special Casemix Main Groups (CMG) TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,D-4-13-III,1,5.962.000,5 .962.000,5 .962.000,5 .962.000
40,90.0,174.1,498.6,736.2,-39- -40- B. Besaran Pembayaran Tambahan (Top Up Payment) Pada Special Casemix Main Groups (CMG) TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,5.962.000,5 .962.000,5 .962.000,5 .962.000
40,90.0,174.1,498.6,736.2,-39- -40- B. Besaran Pembayaran Tambahan (Top Up Payment) Pada Special Casemix Main Groups (CMG) TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,5.962.000,5 .962.000,5 .962.000,5 .962.000
40,90.0,174.1,498.6,736.2,-39- -40- B. Besaran Pembayaran Tambahan (Top Up Payment) Pada Special Casemix Main Groups (CMG) TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,4,DD-04-II,Deferasirox,D-4-13-I,1,5.962.000,5 .962.000,5 .962.000,5 .962.000
40,90.0,174.1,498.6,736.2,-39- -40- B. Besaran Pembayaran Tambahan (Top Up Payment) Pada Special Casemix Main Groups (CMG) TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,5.962.000,5 .962.000,5 .962.000,5 .962.000
40,90.0,174.1,498.6,736.2,-39- -40- B. Besaran Pembayaran Tambahan (Top Up Payment) Pada Special Casemix Main Groups (CMG) TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,5.962.000,5 .962.000,5 .962.000,5 .962.000
40,90.0,174.1,498.6,736.2,-39- -40- B. Besaran Pembayaran Tambahan (Top Up Payment) Pada Special Casemix Main Groups (CMG) TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,D-4-13-II,1,5.962.000,5 .962.000,5 .962.000,5 .962.000
40,90.0,174.1,498.6,736.2,-39- -40- B. Besaran Pembayaran Tambahan (Top Up Payment) Pada Special Casemix Main Groups (CMG) TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,5.962.000,5 .962.000,5 .962.000,5 .962.000
40,90.0,174.1,498.6,736.2,-39- -40- B. Besaran Pembayaran Tambahan (Top Up Payment) Pada Special Casemix Main Groups (CMG) TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,5.962.000,5 .962.000,5 .962.000,5 .962.000
40,90.0,174.1,498.6,736.2,-39- -40- B. Besaran Pembayaran Tambahan (Top Up Payment) Pada Special Casemix Main Groups (CMG) TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,D-4-13-III,1,5.962.000,5 .962.000,5 .962.000,5 .962.000
40,90.0,174.1,498.6,736.2,-39- -40- B. Besaran Pembayaran Tambahan (Top Up Payment) Pada Special Casemix Main Groups (CMG) TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,5.962.000,5 .962.000,5 .962.000,5 .962.000
40,90.0,174.1,498.6,736.2,-39- -40- B. Besaran Pembayaran Tambahan (Top Up Payment) Pada Special Casemix Main Groups (CMG) TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,5.962.000,5 .962.000,5 .962.000,5 .962.000
40,90.0,174.1,498.6,736.2,-39- -40- B. Besaran Pembayaran Tambahan (Top Up Payment) Pada Special Casemix Main Groups (CMG) TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,5,DD-05-II,Human Albumin for Septicaemia,A-4-10-I,1,2.144.600,2 .144.600,2 .144.600,2 .144.600
40,90.0,174.1,498.6,736.2,-39- -40- B. Besaran Pembayaran Tambahan (Top Up Payment) Pada Special Casemix Main Groups (CMG) TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,2.144.600,2 .144.600,2 .144.600,2 .144.600
40,90.0,174.1,498.6,736.2,-39- -40- B. Besaran Pembayaran Tambahan (Top Up Payment) Pada Special Casemix Main Groups (CMG) TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,2.144.600,2 .144.600,2 .144.600,2 .144.600
40,90.0,174.1,498.6,736.2,-39- -40- B. Besaran Pembayaran Tambahan (Top Up Payment) Pada Special Casemix Main Groups (CMG) TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,A-4-10-II,1,2.144.600,2 .144.600,2 .144.600,2 .144.600
40,90.0,174.1,498.6,736.2,-39- -40- B. Besaran Pembayaran Tambahan (Top Up Payment) Pada Special Casemix Main Groups (CMG) TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,2.144.600,2 .144.600,2 .144.600,2 .144.600
40,90.0,174.1,498.6,736.2,-39- -40- B. Besaran Pembayaran Tambahan (Top Up Payment) Pada Special Casemix Main Groups (CMG) TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,2.144.600,2 .144.600,2 .144.600,2 .144.600
40,90.0,174.1,498.6,736.2,-39- -40- B. Besaran Pembayaran Tambahan (Top Up Payment) Pada Special Casemix Main Groups (CMG) TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,A-4-10-III,1,2.144.600,2 .144.600,2 .144.600,2 .144.600
40,90.0,174.1,498.6,736.2,-39- -40- B. Besaran Pembayaran Tambahan (Top Up Payment) Pada Special Casemix Main Groups (CMG) TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,2.144.600,2 .144.600,2 .144.600,2 .144.600
40,90.0,174.1,498.6,736.2,-39- -40- B. Besaran Pembayaran Tambahan (Top Up Payment) Pada Special Casemix Main Groups (CMG) TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,2.144.600,2 .144.600,2 .144.600,2 .144.600
40,90.0,174.1,498.6,736.2,-39- -40- B. Besaran Pembayaran Tambahan (Top Up Payment) Pada Special Casemix Main Groups (CMG) TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,6,DD-06-II,Anti Hemofilia Factor,D-4-11-I,1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2.637.400,12.637.400,12.637.400,12.637.400
40,90.0,174.1,498.6,736.2,-39- -40- B. Besaran Pembayaran Tambahan (Top Up Payment) Pada Special Casemix Main Groups (CMG) TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2.637.400,12.637.400,12.637.400,12.637.400
40,90.0,174.1,498.6,736.2,-39- -40- B. Besaran Pembayaran Tambahan (Top Up Payment) Pada Special Casemix Main Groups (CMG) TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2.637.400,12.637.400,12.637.400,12.637.400
40,90.0,174.1,498.6,736.2,-39- -40- B. Besaran Pembayaran Tambahan (Top Up Payment) Pada Special Casemix Main Groups (CMG) TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,D-4-11-II,1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2.637.400,12.637.400,12.637.400,12.637.400
40,90.0,174.1,498.6,736.2,-39- -40- B. Besaran Pembayaran Tambahan (Top Up Payment) Pada Special Casemix Main Groups (CMG) TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2.637.400,12.637.400,12.637.400,12.637.400
40,90.0,174.1,498.6,736.2,-39- -40- B. Besaran Pembayaran Tambahan (Top Up Payment) Pada Special Casemix Main Groups (CMG) TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2.637.400,12.637.400,12.637.400,12.637.400
