page,bbox_x0,bbox_top,bbox_x1,bbox_bottom,tentang,tipe_regional,kelas_rs,tipe_rs,rawat_jalan,NO,KODE SPECIAL CMG,JENIS LAYANAN,KODE GROUP INA-CBG,KODE DIAGN OSIS (ICD-10 VERSI TAHUN 2010),KODE PROSE DUR (ICD-9- CM VERSI TAHUN 2010,KETENTUAN PENJAMINAN
85,70.2,122.4,587.5,699.4,--------- 888888888444444445 --------- II. KRITERIA PELAYANAN DAN KOMPETENSI UNTUK PELAYANAN KESEHATAN TERTENTU DI FKRTL,,,,,1,RR-02-II,Contegra,I-1-03-I I-1-03-II I-1-03-III,-,35.92,Penjaminan top up hanya dilakukan di RS Khusus Jantung Kelas A Milik Pemerintah.
85,70.2,122.4,587.5,699.4,--------- 888888888444444445 --------- II. KRITERIA PELAYANAN DAN KOMPETENSI UNTUK PELAYANAN KESEHATAN TERTENTU DI FKRTL,,,,,2,RR-04-III,Hip Implant/ Knee Implant,M-1-04-I M-1-04-II M-1-04-III,-,"81.51, 81.52, 81.53, 81.54, 81.55",1. Penjaminan tidak dapat dilakukan di RS kelas D; 2. Layanan dilakukan oleh operator sesuai dengan kewenangan klinis dan kompetensinya; 3. Adanya ketersediaan alat untuk pelaksanaan operasi Hip/Knee Implant.
85,70.2,122.4,587.5,699.4,--------- 888888888444444445 --------- II. KRITERIA PELAYANAN DAN KOMPETENSI UNTUK PELAYANAN KESEHATAN TERTENTU DI FKRTL,,,,,3,RR-05-III,Prostesis Evar/Tevar,I-1-20-I I-1-20-II I-1-20-III,-,"39.71, 39.73",1. Tarif layanan yang mendapatkan top up
