page,bbox_x0,bbox_top,bbox_x1,bbox_bottom,tentang,tipe_regional,kelas_rs,tipe_rs,rawat_jalan,7 NO,DD-11-II KODE SPESIAL,Human Albumin for Burn DESKRIPSI SPESIAL CMG,KODE INA- S-C4B-1G6-I,KELAS RAWAT,A PEMERINTAH,B PEMERINTAH,C PEMERINTAH,D PEMERINTAH
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.868.400,11.868.400,11.868.400,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.868.400,11.868.400,11.868.400,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,M-1-60-III,1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.868.400,11.868.400,11.868.400,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.868.400,11.868.400,11.868.400,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.868.400,11.868.400,11.868.400,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,1,RR-04-III,Hip Implant,M-1-04-I,1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 8.000.000,18.000.000,18.000.000,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 8.000.000,18.000.000,18.000.000,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 8.000.000,18.000.000,18.000.000,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,M-1-04-II,1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 8.000.000,18.000.000,18.000.000,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 8.000.000,18.000.000,18.000.000,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 8.000.000,18.000.000,18.000.000,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,M-1-04-III,1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 8.000.000,18.000.000,18.000.000,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 8.000.000,18.000.000,18.000.000,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 8.000.000,18.000.000,18.000.000,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,Knee Implant,M-1-04-I,1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3.000.000,13.000.000,13.000.000,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3.000.000,13.000.000,13.000.000,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3.000.000,13.000.000,13.000.000,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,M-1-04-II,1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3.000.000,13.000.000,13.000.000,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3.000.000,13.000.000,13.000.000,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3.000.000,13.000.000,13.000.000,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,M-1-04-III,1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3.000.000,13.000.000,13.000.000,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3.000.000,13.000.000,13.000.000,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3.000.000,13.000.000,13.000.000,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,12,RR-05-III,Prostesis Evar/Tevar,I-1-20-I,1,119.325.000,-,-,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,119.325.000,-,-,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,119.325.000,-,-,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,I-1-20-II,1,119.325.000,-,-,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,119.325.000,-,-,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,119.325.000,-,-,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,I-1-20-III,1,119.325.000,-,-,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,119.325.000,-,-,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,119.325.000,-,-,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,M-1-04-I,1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3.099.000,5 .614.100,4 .294.000,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3.099.000,5 .614.100,4 .294.000,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3.099.000,5 .614.100,4 .294.000,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,M-1-04-II,1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3.099.000,5 .614.100,4 .294.000,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3.099.000,5 .614.100,4 .294.000,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3.099.000,5 .614.100,4 .294.000,-
