page,bbox_x0,bbox_top,bbox_x1,bbox_bottom,Huruf,Jenis perawatan,Ketentuan Selisih Biaya
26,198.5,232.2,538.7,530.5,A.,Rawat jalan eksekutif,"paling banyak sebesar RP400.000,00 (empat ratus ribu rupiah)"
26,198.5,232.2,538.7,530.5,B.,Hak rawat kelas 2 naik ke kelas 1,Selisih tarif INA-CBG pada kelas rawat inap Kelas 1 dengan tarif INA-CBG pada kelas rawat inap kelas 2
26,198.5,232.2,538.7,530.5,C.,Hak rawat kelas 1 naik ke kelas di atas kelas 1,Selisih tarif INA-CBG kelas 1 dengan tarif kelas di atas kelas 1 yaitu paling banyak sebesar 75% (tujuh puluh lima persen) dari tarif INA- CBG kelas 1
26,198.5,232.2,538.7,530.5,D.,Hak rawat kelas 2 naik ke kelas di atas kelas 1,Selisih tarif INA-CBG antara kelas 1 dengan kelas 2 ditambah paling banyak sebesar 75% (tujuh puluh lima persen) dari tarif INA- CBG kelas 1
