page,bbox_x0,bbox_top,bbox_x1,bbox_bottom,tentang,tipe_regional,kelas_rs,tipe_rs,rawat_jalan,col_0,col_1,col_2,col_3,col_4,col_5,perundangan yang berlaku.
91,70.2,84.3,587.5,702.0,--------- 999999999000000001 ---------,,,,,10,-,Kemoterapi,Rawat Inap: C-4-13-I C-4-13-II C-4-13-III Rawat Jalan: C-3-23-0,-,99.25,"1. Pelayanan Kemoterapi diberikan sesuai dengan PNPK atau PPK, formularium nasional dan sesuai dengan ketentuan perundangan yang berlaku 2. Pelayanan Kemoterapi dilakukan oleh dokter yang memiliki kompetensi dibidang Onkologi sesuai pelayanan yang akan diberikan."
91,70.2,84.3,587.5,702.0,--------- 999999999000000001 ---------,,,,,1,,Hemodialisis,N-3-15-0,-,39.95,1. Alat dan bahan medis habis pakai pada tindakan hemodialisis digunakan secara single use; 2. Jika digunakan secara re-use maka tarif yang dibayarkan adalah 85% dari tarif yang berlaku.
